Name,Price,District,Street,Czynsz,Area,Rooms,Building,Owner
Mieszkanie 54m2 | ul. Krokwi | Las & METRO CENTRUM,2 800,Białołęka,Osiedle Klasyków,700,54,2,apartamentowiec,prywatny
"ŻOLIBORZ -2 pokoje,po remoncie, bezpłatny parking",2 800,Żoliborz,ul. Władysława Broniewskiego,600,38,2,blok,prywatny
Apartament 2-pokojowy wysoki standard Ochota,6 000,Ochota,Instalatorów 5 Acive City,800,45,2,apartamentowiec,prywatny
Nowoczesne mieszkanie z ogrodem obok Żerania Fso,3 100,Żerań,,650,44,2,blok,prywatny
Z ogródkiem na bliskich Bielanach,3 600,Bielany,ul. Kleczewska,0,"59,5",2,kamienica,biuro nieruchomości
"Port Praski, zupełnie nowe, 2 pokoje!",4 000,Praga-Północ,ul. Józefa Sierakowskiego,1,50,2,apartamentowiec,prywatny
"Apartament na Mokotowie, wysoki standard, meble",6 000,Dolny Mokotów,ul. Bukowińska 24A,850,"64,5",3,apartamentowiec,prywatny
"Ochota ul. Sierpińskiego, 1 pok. 36,3 m garaż",2 500,Ochota,ul. Wacława Sierpińskiego,0,"36,3",1,blok,biuro nieruchomości
"Ochota ul. Włodarzewska , 3 pok. 72 m",5 600,Ochota,ul. Włodarzewska,0,72,3,blok,biuro nieruchomości
Designerska duża kawalerka | Stara Praga | Metro,2 800,Praga-Północ,,700,42,1,kamienica,prywatny
Unique apartment on 28th floor on Złota 44,29 000,Śródmieście,ul. Złota,0,137,2,blok,biuro nieruchomości
Komfortowy apartament w świetnej lokalizacji,7 000,Ochota,,500,71,3,blok,prywatny
Spectacular 3 bedroom apartment on Złota 44,45 000,Śródmieście,ul. Złota,0,160,4,blok,biuro nieruchomości
Sophisticated apartment on 23rd floor Złota 44,25 000,Śródmieście,ul. Złota,0,100,2,apartamentowiec,biuro nieruchomości
"Ochota, Mieszkanie dwupoziomowe, TRITON PARK, 78m2",5 000,Ochota,ul. Grójecka,1 200,78,2,apartamentowiec,prywatny
Wynajmę mieszkanie 2-pokojowe,2 800,Targówek,ul. Malborska,600,44,2,apartamentowiec,prywatny
Ścisłe Centrum Ul. Królewska 45,2 700,Śródmieście,ul. Królewska,0,"37,5",2,blok,biuro nieruchomości
od 1 KWIETNIA piękne mieszkanie park Morskie Oko !,7 000,Górny Mokotów,ul. Morskie Oko,800,82,3,kamienica,prywatny
| Złota 44 | 1 sypialnia | PkiN |,28 000,Śródmieście,ul. Złota,0,100,2,blok,biuro nieruchomości
Złota 44 | 3 rooms | 47th floor | Eastern view,40 000,Śródmieście,ul. Złota,0,"161,2",3,apartamentowiec,biuro nieruchomości
Kawalerka 5 min od stacji metra Dworzec Wileński,2 200,Praga-Północ,ul. Kameralna,500,27,1,blok,prywatny
Dwupokojowe Kokoryczki 40 m2 bezpośrednio,3 300,Gocławek,ul. Kokoryczki 3A,600,40,2,blok,prywatny
Dwupokojowe mieszkanie w prestiżowej lokalizacji,3 400,Wola,ul. Juliusza Ordona,1 100,67,2,blok,prywatny
| Złota 44 | widok na PkiN |,25 000,Śródmieście,ul. Złota,0,100,2,blok,biuro nieruchomości
100 m2 | Złota 44 | 34 piętro | 1 sypialnia,26 000,Śródmieście,ul. Złota,0,100,2,blok,biuro nieruchomości
Centrum | Blisko metra | Wysoki standard | Taras,7 500,Śródmieście,ul. Złota,0,62,2,apartamentowiec,biuro nieruchomości
Komfortowe mieszkanie na Białołęce,3 300,ul. Książkowa 7e,,1 100,74,3,blok,biuro nieruchomości
2 pok. z widokiem na jeziorko Marina Mokotów,3 900,Mokotów,ul. Wyględowska,770,55,2,blok,biuro nieruchomości
Amazing apartment on 39th floor on Złota 44,30 000,Śródmieście,ul. Złota,5 000,142,3,blok,biuro nieruchomości
Luksusowy apartament z 3 sypialniami Unique Tower,30 000,Śródmieście,ul. Grzybowska,0,160,4,blok,biuro nieruchomości
Spacious 5 room 227 sqm apartment on Złota 44,35 000,Śródmieście,ul. Złota,0,227,5,blok,biuro nieruchomości
Piękne 3 pokojowe mieszkanie,4 800,Praga-Południe,ul. Kokoryczki,830,61,3,Zapytaj,biuro nieruchomości
2-pokojowe na Szczesliwicach z balkonem i garazem,2 800,Ochota,ul. Drawska 10,800,39,2,blok,prywatny
Kawalerka do wynajęcia na Bielanach blisko Metra,2 050,Wrzeciono,ul. Wrzeciono,500,25,1,Zapytaj,biuro nieruchomości
Ostoja Wilanów | Widok na park | 4 sypialnie,19 500,Wilanów,ul. Prymasa Augusta Hlonda,0,134,5,apartamentowiec,biuro nieruchomości
175m2 | 3 Sypialnie | Taras z widokiem na park,12 000,Dolny Mokotów,Belwederska/Dolna,0,175,4,apartamentowiec,biuro nieruchomości
Niemcewicza | Z przepiękną panoramą | Glamour,5 500,Stara Ochota,ul. Juliana Ursyna Niemcewicza,1 000,"69,5",2,apartamentowiec,biuro nieruchomości
"Port Praski, zupełnie nowe, 3 pokoje!",6 600,Praga-Północ,ul. Józefa Sierakowskiego,1,73,3,apartamentowiec,prywatny
Nowa kawalerka do wynajęcia przy KASPRZAKA,3 100,Wola,,400,"27,5",1,apartamentowiec,prywatny
Mieszkanie na Woli 3 pokoje 85m2 po remoncie,6 500,Wola,ul. Jaktorowska,0,85,3,blok,biuro nieruchomości
Mieszkanie Apartament 3 pokoje 74m2 I piętro winda,6 500,Ursynów,ul. Gawota,0,74,3,blok,prywatny
"Mieszkanie 30m2 na Saskiej Kępie, ul Paryska",2 800,Saska Kępa,ul. Paryska 30,580,30,2,kamienica,prywatny
Elegancki apartament na Śródmieściu,7 500,Śródmieście Południowe,ul. Mokotowska,0,"65,53",2,kamienica,biuro nieruchomości
Mieszkanie dwupokojowe Mennica Residence,6 600,Wola,ul. Grzybowska 41a,0,35,2,apartamentowiec,prywatny
Ekopark Pole Mokotowskie Biały Kamień 2-pok. 58 m2,4 800,Górny Mokotów,ul. Biały Kamień 3,1,58,2,apartamentowiec,prywatny
"2 pokoje na Starej Ochocie, bezpośrednio!",3 300,Stara Ochota,ul. Adama Asnyka,0,43,2,kamienica,prywatny
Najem Okazjonalny,3 900,Ursynów,,0,61,3,Zapytaj,biuro nieruchomości
100m2 3pok w kamienicy z 1926 Pl. Trzech Krzyży,8 000,Śródmieście,ul. Marii Konopnickiej 5,1 100,"100,47",3,kamienica,biuro nieruchomości
2-pok z oddzielną kuchnią na Mokotowie,2 600,Mokotów,ul. Konduktorska,0,38,2,Zapytaj,biuro nieruchomości
"Po remoncie, przy metrze, wys. stand.,klima,bezpoś",2 750,Wola,,350,26,1,blok,prywatny
Mieszkanie 4 pokojowe + balkon + piwnica | Gocław,3 500,Gocław,,1 600,73,4,Zapytaj,biuro nieruchomości
"Zadbane, przestronne mieszkanie, Plac Hallera",2 650,Nowa Praga,,750,50,2,kamienica,prywatny
ul.Andersa- Najemca nie płaci prowizji dla biura.,3 800,Muranów,ul. gen. Władysława Andersa,0,50,2,blok,biuro nieruchomości
Kawalerka blisko Metra Księcia Janusza,2 900,Wola,"Danuty Siedzikówny ""Inki""",1,28,1,blok,biuro nieruchomości
"Nowe Mieszkanie PREMIUM z ogródkiem, 5 pokoi",14 000,Wawer,,0,200,5,apartamentowiec,prywatny
Stylowe 2 pokoje w kamienicy po remoncie,4 000,Mokotów,,0,"42,5",2,kamienica,biuro nieruchomości
Mieszkanie - Warszawa Ursus,3 100,Ursus,ul. Przy Forcie,0,75,3,Zapytaj,biuro nieruchomości
KOMFORTOWE 2 POKOJE na warszawskim Muranowie!,3 850,Śródmieście,,650,51,2,Zapytaj,biuro nieruchomości
Mieszkanie 3-pokojowe z parkingiem wynajmę,6 500,Służewiec,ul. Bokserska 2,0,"89,4",3,apartamentowiec,prywatny
"Przestronne, 2-pok., Mokotów - super lokalizacja",3 600,Dolny Mokotów,ul. Czerska 18,0,"58,5",2,apartamentowiec,prywatny
Warszawa Praga Pd - Gocław,3 000,Gocław,ul. Jugosłowiańska,1 000,"38,2",2,blok,prywatny
do wynajęcia nowa kawalerka-mały apartament FV 23%,3 499,Stare Włochy,,300,32,1,apartamentowiec,prywatny
"Warszawa, Bemowo Fort Bema Księcia Bolesława ciche",2 600,Bemowo,ul. Księcia Bolesława,700,47,2,blok,prywatny
"Rezerwacja Do wynajęcia kawalerka 35 m 2, Bielan",2 500,Bielany,ul. Antoniego Czechowa,0,35,1,Zapytaj,biuro nieruchomości
"Nowa piękna kawalerka, klimatyzacja, TV",3 000,Wola,ul. Fort Wola,350,32,1,apartamentowiec,prywatny
Penthouse z widokiem na zielone serce miasta,20 000,Powiśle,,0,134,3,apartamentowiec,biuro nieruchomości
2-pokojowe mieszkanie 38m2 metro Wierzbno,2 400,Górny Mokotów,ul. Okęcka,980,38,2,blok,prywatny
"Eleganckie, nowoczesne, ciche. Rondo Daszyńskiego.",3 600,Wola,,600,"42,51",2,apartamentowiec,biuro nieruchomości
"Penthouse na Miasteczku Wilanów, taras 200m2!",28 000,Wilanów,ul. Franciszka Klimczaka,0,210,4,apartamentowiec,biuro nieruchomości
"Mieszkanie, 80 m², Warszawa",7 700,Wilanów,ul. Franciszka Klimczaka,0,80,3,apartamentowiec,biuro nieruchomości
"Ciche, 4-pokojowe mieszkanie na Woli",6 800,Koło,ul. Deotymy,400,"90,21",4,Zapytaj,biuro nieruchomości
"Dom w zabudowie bliźniaczej, Wawer, Ulanowska",3 500,Radość,ul. Ulanowska,0,75,3,Zapytaj,biuro nieruchomości
Designerski apartament z klimatycznym tarasem,4 600,Wilanów,ul. Sarmacka,0,54,1,apartamentowiec,biuro nieruchomości
Apartament W Bezpośrednim Sąsiedztwie Fortów Bema,6 800,Bemowo,ul. Obrońców Tobruku,0,99,3,apartamentowiec,biuro nieruchomości
4-pokojowe mieszkanie w Miasteczku Wilanów,22 000,Wilanów,ul. Prymasa Augusta Hlonda,0,153,4,apartamentowiec,biuro nieruchomości
Przytulne studio z pięknym widokiem ul. Kolejowa,3 800,Wola,ul. Kolejowa,0,"37,8",1,apartamentowiec,biuro nieruchomości
Apartament z duszą przy Placu Zbawiciela,6 900,Śródmieście Południowe,al. Aleja Wyzwolenia,0,"78,65",4,kamienica,biuro nieruchomości
Dwupoziomowe mieszkanie na Zawadach,9 000,Zawady,,0,80,4,kamienica,biuro nieruchomości
"Apartament z duszą 96 m2, Bohema, Nowa Praga",15 000,Nowa Praga,ul. Szwedzka,0,"96,5",4,apartamentowiec,biuro nieruchomości
Prawdziwa perełka z tarasem w Wilanowie,15 500,Dolny Mokotów,ul. Jana III Sobieskiego,0,177,4,apartamentowiec,biuro nieruchomości
"Rezydencja Orłowicza, przepiękne jasne mieszkanie!",6 000,Powiśle,ul. Mieczysława Orłowicza,0,"49,18",2,apartamentowiec,biuro nieruchomości
Bezpośrednio - Kawalerka - Co-working - Siłownia,4 450,Śródmieście,ul. Stanisława Dubois 9,0,35,1,apartamentowiec,prywatny
Modern style / 1 bedroom apartment with air cond.,7 500,Śródmieście,ul. Mokotowska,0,65,2,kamienica,biuro nieruchomości
Luksusowy Apartament 78.5 m2 Miasteczko Wilanów,6 800,Wilanów,ul. Franciszka Klimczaka,0,"78,5",3,Zapytaj,prywatny
"Kawalerka mieszkanie do wynajęcia, ogródek, garaż",2 700,Marysin Wawerski,ul. Korkowa 37,0,30,1,blok,prywatny
"Mieszkanie trzypokojowe 48 m2, Warszawa Praga Pd.",4 500,Praga-Południe,ul. Pustelnicka,0,48,3,blok,prywatny
"3 pokoje, 2 ogródki z tarasami, 2 miejsca garażowe",6 000,Gocław,,1 050,60,3,blok,prywatny
"Luksusowy apartament na Powiślu, ul. Leszczyńska 4",12 000,Śródmieście,,0,90,3,apartamentowiec,biuro nieruchomości
"Wyjątkowy apartament w Centrum,Mennica Residence",30 000,Śródmieście,,0,131,4,apartamentowiec,biuro nieruchomości
Luksusowy apartament przy Parku Szczęśliwickim,25 000,Szczęśliwice,,0,116,4,apartamentowiec,biuro nieruchomości
"Piękny apartament w prestiżowej lokalizacji,Foksal",27 000,Śródmieście,,0,125,3,kamienica,biuro nieruchomości
"Luksusowy apartament Złota 44, 2 sypialnie",35 000,Centrum,,0,125,3,apartamentowiec,biuro nieruchomości
"Wynajmę mieszkanie na Bemowie, ul. Rayskiego",3 400,Bemowo,,545,47,2,blok,prywatny
125m2 | 3 Sypialnie | Wysoki Standard | Powiśle,14 000,Powiśle,ul. Leona Kruczkowskiego,0,125,4,apartamentowiec,biuro nieruchomości
Zjawiskowy Apartament W Zabytkowej Kamienicy,17 000,Śródmieście,,0,"111,24",3,kamienica,biuro nieruchomości
Apartament na Górnym Mokotowie | Ogródek,15 000,Górny Mokotów,,0,120,4,apartamentowiec,biuro nieruchomości
Penthouse / Miasteczko Wilanów / Taras,20 000,Wilanów,ul. Sarmacka,0,123,3,apartamentowiec,biuro nieruchomości
City centre | High-standard | With parking,23 000,Śródmieście,ul. Piękna,0,186,4,kamienica,biuro nieruchomości
Piękne mieszkanie na Mokotowie 15 min do Centrum,3 250,Dolny Mokotów,ul. Ananasowa,950,40,2,apartamentowiec,biuro nieruchomości
2-pokojowe mieszkanie na Ursynowie,3 200,Ursynów,ul. Belgradzka,750,44,2,blok,prywatny
Warszawa Praga Pd - Gocław,3 000,Gocław,ul. Jugosłowiańska,1 000,"38,2",2,blok,prywatny
Apartament w Kamienicy na Foksal,18 000,Śródmieście,,0,77,2,kamienica,biuro nieruchomości
200m biuro w Kamienicy Hoserów,18 000,Śródmieście,al. Aleje Jerozolimskie,2 000,200,7,kamienica,biuro nieruchomości
Mennica Residence | 4 pokoje | 130 m2 | Umeblowane,30 000,Śródmieście,ul. Grzybowska,0,130,4,apartamentowiec,biuro nieruchomości
135m2 | 3 Pokoje | Penthouse z Tarasem | Powiśle,20 000,Powiśle,ul. Tamka,0,134,3,apartamentowiec,biuro nieruchomości
Villa Monaco | Swimming Pool | Park View,19 500,Dolny Mokotów,,0,145,4,apartamentowiec,biuro nieruchomości
250m2 | Idealne dla rodziny z dziećmi | Mokotów,17 000,Sadyba,ul. Cypryjska,0,250,5,apartamentowiec,biuro nieruchomości
Przestronne 3 pokojowe mieszkanie na wynajem,6 500,Praga-Południe,,0,64,3,blok,prywatny
2 pok z m. post. i komórką os. Saska ul.Skalskiego,3 500,Praga-Południe,,500,"55,4",2,blok,biuro nieruchomości
Mokotów*Śliczne 2 Pokoje*Pierwszy Najem*Ul.Górska,4 000,Mokotów,ul. Górska,395,30,2,kamienica,biuro nieruchomości
Аренда квартиры Mieszkanie na wynajem,3 000,Ochota,ul. Grójecka,400,38,2,apartamentowiec,biuro nieruchomości
"Mieszkanie w stylu skandynawskim 1 , Okęcie",2 300,Włochy,ul. Municypalna 12,300,22,2,dom wolnostojący,prywatny
2 pokoje + garaż + balkon + kom. lokatorska,3 600,Mokotów,ul. Garażowa,750,50,2,blok,prywatny
Przytulne mieszkanie w Porcie Praskim,3 500,Stara Praga,ul. Józefa Sierakowskiego,300,31,1,apartamentowiec,prywatny
Kawalerka obok Arkadii!,3 500,Żoliborz,,500,54,1,Zapytaj,biuro nieruchomości
Ochota 2 pokoje 38 m2 ul. Sierpińskiego garaż,2 550,Ochota,ul. Wacława Sierpińskiego 1A,1,38,2,apartamentowiec,prywatny
"Grzybowska - klimatyzowane studio, 14 piętro",3 512,Wola,ul. Grzybowska,898,"31,49",1,apartamentowiec,prywatny
"Mieszkanie Wilanów Warszawa, ul. Klimczaka, 3 pok.",6 000,Wilanów,ul. Franciszka Klimczaka,1 238,84,3,apartamentowiec,prywatny
Powiśle / 3 bedrooms / 2 bathrooms / parking space,14 000,Powiśle,ul. Leona Kruczkowskiego,0,125,4,apartamentowiec,biuro nieruchomości
Eko Park / 2 bedrooms / 1 bathroom / terrace,8 000,Mokotów,ul. Jana Karola Chodkiewicza,0,83,3,apartamentowiec,biuro nieruchomości
"Nowoczesny, 3-pokojowy apartament na Mokotowie",8 000,Służewiec,ul. Postępu,0,81,3,apartamentowiec,biuro nieruchomości
City Center / 1 bedroom / fully furnished,5 000,Śródmieście,ul. Belwederska,0,57,2,kamienica,biuro nieruchomości
"Krucza, na mieszkanie lub biuro, parking",5 000,Centrum,ul. Krucza,700,56,3,kamienica,biuro nieruchomości
"Piękna, nowa kawalerka",2 000,Wesoła,,600,35,1,Zapytaj,prywatny
BEZPOŚREDNIO - Fort MOKOTÓW - segment około 200m2,12 000,Górny Mokotów,ul. Głogowa 21,0,180,7,szeregowiec,prywatny
2 Niezależne Pokoje - Metro,2 900,Targówek,ul. Krasnobrodzka,800,47,2,Zapytaj,biuro nieruchomości
"Mieszkanie - Lokal 46 m2, 3 pokoje, bezpośrednio",2 800,Rumiankowa 11 A ,,0,46,3,szeregowiec,prywatny
"Super na biuro i mieszkanie, miejsce parkingowe na",3 800,Centrum,ul. Krucza,500,38,1,kamienica,biuro nieruchomości
Bez prowizji 4-pokojowe 80 m/2 po remoncie Ursynów,4 890,Ursynów,,950,80,4,blok,prywatny
Elegancki penthouse z garażem.,12 500,Wilanów,al. Aleja Rzeczypospolitej,0,106,3,apartamentowiec,biuro nieruchomości
"Ursus ul. Bohaterów Warszawy, 2 pok. 42m piwnica",2 700,Ursus,,0,42,2,blok,biuro nieruchomości
"Do wynajęcia mieszkanie Kabaty, 40m, 2 pokoje",2 400,Kabaty,Al. Ken 26,600,40,2,blok,prywatny
"Mieszkanie 61 metrów, Sadyba",3 500,Sadyba,ul. Santocka,"870,41",61,3,apartamentowiec,prywatny
"Mieszkanie 41 m, 2 pokojowe Fort Wola",3 650,Wola,ul. Fort Wola,0,41,2,blok,biuro nieruchomości
Bezpośrednio nowe 2pok. mieszkanie | garaż | klima,4 400,Bielany,ul. Rudzka,500,"42,5",2,blok,prywatny
"Mieszkanie 39m2, Sielecka 22, Dolny Mokotów",2 500,Dolny Mokotów,,700,39,1,apartamentowiec,biuro nieruchomości
"Mieszkanie 68 m2 do wynajęcia Warszawa, Białołęka",3 500,Kobiałka,ul. Żeglugi Wiślanej,800,68,3,apartamentowiec,prywatny
Mieszkanie 2-pokojowe Rembertów umeblowane taras,2 900,Stary Rembertów,ul. Kramarska,300,50,2,blok,prywatny
Kawalerka Bemowo - BEZPOŚREDNIO,2 700,Bemowo,ul. Władysława Broniewskiego 77,200,27,1,blok,prywatny
Dwupokojowe mieszkanie na Placu Bankowym,3 000,Śródmieście Północne,ul. Senatorska,0,36,2,blok,prywatny
"Wynajmę 3 oddzielne pokoje (bez mebli), Tarchomin",3 000,Nowodwory,ul. Aleksandra Kamińskiego,0,64,3,Zapytaj,biuro nieruchomości
"Muranów I Klimatyczne 2-Pokoje, Wyższy Standard!",3 200,Śródmieście,ul. Dzielna,0,40,2,Zapytaj,biuro nieruchomości
3Pok. Po Remoncie Z Pięknym Widokiem I Garażem,5 500,Żoliborz,ul. Sybilli,1 250,"80,06",3,Zapytaj,biuro nieruchomości
Zgrabne 4 pokojowe,4 500,Wilanów,,600,"63,5",4,blok,biuro nieruchomości
"Jasny, przestronny apartament na Starym Mokotowie",9 500,Mokotów,ul. Kazimierzowska,0,110,3,apartamentowiec,biuro nieruchomości
"Przyjemnie, 3-pokojowe mieszkanie 56m2, Stegny",3 500,Stegny,ul. Barcelońska,700,"56,2",3,blok,prywatny
Luksusowy apartament ze wspaniałym widokiem,7 800,Sadyba,ul. Bernardyńska,0,73,2,apartamentowiec,biuro nieruchomości
Mieszkanie w klimatycznej kamienicy na Ochocie,4 500,Ochota,ul. Maurycego Mochnackiego,0,70,2,kamienica,biuro nieruchomości
Mieszkanie 3-pokoje Metro Imielin - Al. KEN,3 590,Imielin,al. Aleja Komisji Edukacji Narodowej,670,56,3,blok,prywatny
Nowe mieszkanie kawalerka 13m2 10 km centrum W-wy,1 900,Okęcie,,0,13,1,dom wolnostojący,prywatny
Do wynajęcia mieszkanie 2 pokoje Bielany,4 000,Bielany,ul. Tczewska,900,55,2,blok,biuro nieruchomości
Dwupokojowy apartament z Tarasami do wynajęcia,5 500,Wola,ul. Zawiszy,800,80,2,blok,biuro nieruchomości
WYNAJMĘ MIESZKANIE Warszawa Ursus - Skorosze,2 600,Skorosze,ul. Dzieci Warszawy 27a,580,47,2,blok,prywatny
"Bezpośrednio, 3 pok balkon, Metro Wierzbno, Okęcka",3 100,Górny Mokotów,"Wierzbno, Okęcka",650,49,3,blok,prywatny
"2 pokojowe mieszkane, Wierzbno, dostępne od zaraz",3 700,Górny Mokotów,ul. Jana Pawła Woronicza,900,49,2,blok,prywatny
Nowoczesny Apartament Sypialnia UW WUM Ochota NOWE,3 500,Ochota,ul. Mołdawska 4,500,23,2,blok,prywatny
"Do wynajęcia od zaraz – Warszawa, bliska wola",2 950,Wola,ul. Marcina Kasprzaka,350,21,1,apartamentowiec,prywatny
Mieszkanie 100m2 z ogrodem 300m2 Wilanów,8 900,Wilanów,ul. abp. Józefa Teodorowicza,1 100,100,3,blok,prywatny
Mieszkanie 35m2 Stara Ochota,3 500,Stara Ochota,,500,35,1,kamienica,prywatny
"Kawalerka, dzielnica Wola, blisko Metra M2",2 650,Wola,"ul. Batalionu AK ""Karpaty""",360,28,1,blok,prywatny
"Mieszkanie 2-pok, 37m2, nowe budownictwo, Mokotów",3 300,Mokotów,al. Aleja gen. Władysława Sikorskiego,460,37,2,blok,prywatny
Mieszkanie 3-pokojowe | metro Księcia Janusza,4 500,Wola,ul. Jana Brożka,1 000,66,3,apartamentowiec,prywatny
Do wynajęcia Kawalerka ul.Obozowa,2 200,Wola,ul. Obozowa 76,524,29,1,blok,prywatny
Mokotów Dywizjonu Ak Jeleń - 2 pokoje 29 m2 garaż,2 800,Siekierki,"ul. Dywizjonu AK ""Jeleń""",0,29,2,Zapytaj,biuro nieruchomości
"Rezerwacja; Inteligentny dom, garaż, komórka lok",2 600,Ursus,,0,41,2,Zapytaj,biuro nieruchomości
Nowoczesnie wykończone 2 pok. osiedle Bliska Wola,4 200,Wola,ul. Marcina Kasprzaka,0,49,2,apartamentowiec,biuro nieruchomości
Apartament w odnowionej kamienicy Nowe Miasto,3 850,Śródmieście,ul. Sapieżyńska,0,40,1,kamienica,biuro nieruchomości
Mennica Residence_Nowe 2pok_garaż_Grzybowska,4 999,Śródmieście,ul. Grzybowska,700,43,2,apartamentowiec,biuro nieruchomości
#Powiśle apartment 2 bedrooms #Garage #Garden,8 000,Powiśle,ul. Leszczyńska,1,75,3,apartamentowiec,biuro nieruchomości
Mieszkanie bezpośrednio,2 500,Ursus,ul. Skoroszewska,600,47,2,blok,prywatny
Wyjątkowy apartament Kellera Residence,5 000,Bielany,ul. Rudzka 28a,300,46,2,kamienica,prywatny
Klimatyzcja*wysoki standard* ochrona 24h*,15 000,Dolny Mokotów,al. Jana III Sobieskiego,0,196,4,apartamentowiec,biuro nieruchomości
Nowe 2 pokojowe mieszkanie Wola,3 400,mazowieckie,,500,39,2,apartamentowiec,prywatny
Mieszkanie 37m | Stara Ochota | Al. Jerozolimskie,3 200,Stara Ochota,,0,37,2,blok,prywatny
dla Singla lub Pary - 2 pok. Saska Kępa,2 300,Saska Kępa,,0,37,2,blok,biuro nieruchomości
52m Ursus Skorosze 3 pokojowe z aneksem i garażem,3 000,Ursus,ul. Władysława Hassa,820,52,3,blok,prywatny
Dwupokojowe mieszkanie na Woli z parkingiem,4 500,Wola,ul. Sokołowska,0,50,2,apartamentowiec,biuro nieruchomości
NOWY 3-pokojowy apartament z garażem (Raków),5 000,Włochy,ul. Borsucza,"652,39","56,33",3,apartamentowiec,prywatny
"2 pokojowe mieszkanie, 40m2, Tomcia Palucha 14",2 950,Ursus,ul. Tomcia Palucha,600,40,2,blok,prywatny
Bezpośrednio od właścicieli - ciche z ogrodem.,7 000,Pyry,Rejewskiego17,0,150,5,dom wolnostojący,prywatny
Włodarzewska - 2 pokoje 45m2 + OGRÓDEK + GARAŻ,3 200,Ochota,ul. Włodarzewska,880,45,2,blok,prywatny
Dwa pokoje w Śródmieściu przy PKiN I Rondzie ONZ,2 900,Śródmieście,ul. Śliska,500,37,2,blok,prywatny
"2 pokoje, Metro Bemowo, Wyposażone Bezpośrednio",2 800,Górce,ul. Górczewska 200B,550,42,2,apartamentowiec,prywatny
Do wynajęcia mieszkanie 61 m2 Białołęka (Lewandów,3 300,Białołęka,ul. Geodezyjna,800,61,3,blok,prywatny
Pokój z kuchnią na Żoliborzu,2 200,Sady Żoliborskie,ul. Zygmunta Krasińskiego,0,35,1,blok,prywatny
3 pokojowe mieszkanie na Ochocie,3 200,Rakowiec,ul. Walentego Skorochód-Majewskiego,645,45,3,blok,prywatny
"3-pokojowe, 48 metrów, bliska Wola",4 200,Wola,ul. Edwarda Gibalskiego,620,"48,5",3,blok,prywatny
"Mieszkanie, 60 m², Warszawa",3 900,Nowe Włochy,ul. Notecka,500,60,3,kamienica,prywatny
Apartament 35m z miejscem postojowym i ogródkiem,3 850,Mokotów,ul. Stanisława Kierbedzia,0,35,2,apartamentowiec,prywatny
Mokotów - Taśmowa / Cybernetyki - 2 pokoje,3 300,Górny Mokotów,ul. Taśmowa,500,36,2,blok,prywatny
